linked-ghg-policy,price-adjust,demand-adjust,linked-policy,price-unit,output-unit
CO2,1,3.666666667,GHG,1990$/tC,MTC
CH4,0,25,GHG,1990$/tCH4,TgCH4
N2O,0,298,GHG,1990$/tN2O,TgN2O
C2F6,0,12.2,GHG,1990$/tC2F6,GgC2F6
CF4,0,7.39,GHG,1990$/tCF4,GgCF4
HFC125,0,3.5,GHG,1990$/GgHFC125,GgHFC125
HFC134a,0,1.43,GHG,1990$/GgHFC134a,GgHFC134a
HFC245fa,0,1.03,GHG,1990$/GgHFC245fa,GgHFC245fa
SF6,0,22.8,GHG,1990$/tSF6,GgSF6
CH4_AWB,0,25,GHG,1990$/tCH4,TgCH4
CH4_AGR,0,25,GHG,1990$/tCH4,TgCH4
N2O_AWB,0,298,GHG,1990$/tN2O,TgN2O
N2O_AGR,0,298,GHG,1990$/tN2O,TgN2O
CO2_LUC,0.01,3.666666667,GHG,1990$/tC,MTC
HFC143a,0,4.47,GHG,1990$/GgHFC143a,GgHFC143a
HFC152a,0,0.124,GHG,1990$/GgHFC152a,GgHFC152a
HFC227ea,0,3.22,GHG,1990$/GgHFC227ea,GgHFC227ea
HFC23,0,14.8,GHG,1990$/GgHFC23,GgHFC23
HFC236fa,0,9.81,GHG,1990$/GgHFC23fa,GgHFC23fa
HFC32,0,0.675,GHG,1990$/GgHFC32,GgHFC32
HFC365mfc,0,0.794,GHG,1990$/GgHFC365mfc,GgHFC365mfc
