region,market
USA,USA
Africa_Eastern,Africa_Eastern
Africa_Northern,Africa_Northern
Africa_Southern,Africa_Southern
Africa_Western,Africa_Western
Australia_NZ,Australia_NZ
Brazil,Brazil
Canada,Canada
Central America and Caribbean,Central America and Caribbean
Central Asia,Central Asia
China,China
EU-12,EU
EU-15,EU
Europe_Eastern,Europe_Eastern
Europe_Non_EU,Europe_Non_EU
European Free Trade Association,European Free Trade Association
India,India
Indonesia,Indonesia
Japan,Japan
Mexico,Mexico
Middle East,Middle East
Pakistan,Pakistan
Russia,Russia
South Africa,South Africa
South America_Northern,South America_Northern
South America_Southern,South America_Southern
South Asia,South Asia
South Korea,South Korea
Southeast Asia,Southeast Asia
Taiwan,Taiwan
Argentina,Argentina
Colombia,Colombia
